ID,CENTER,FY,SIC,NAICS,STATE,ANNUAL_SALES,EMPLOYEES,PLANT_AREA,ANNUAL_ELECTRICITY_COST,TOTAL_RECC_IMP_COST,TOTAL_RECC_SAVINGS,ROI_YRS,PRODUCTS,PRODUNITS,PRODLEVEL,PRODHOURS,NUMARS,num_reccs,ARC2,IMPSTATUS
SD0286,SD,2002,3086.0,,CA,20000000.0,100.0,70000.0,800384.0,1479520.0,480693.0,3.077889630179761,metal products for contruction of buildings,6.0,25000.0,4896.0,16,16,"2.4236,2.1311,2.4239,2.3137,2.7145,2.4322,2.7135,2.6218,3.3131,3.3131,4.445,3.1191,4.211,4.323,4.652,4.632","I,N,I,I,N,I,I,N,I,N,I,N,N,I,I,I"
SD0287,SD,2002,3494.0,,CA,75000000.0,400.0,609840.0,1024669.0,200740.0,283081.0,0.7091256566141846,"Pneumatic,hydraulic and fuel fittings",,,6732.0,11,11,"2.4236,2.1311,2.4239,2.3137,2.7145,2.4322,2.7135,2.6218,3.3131,3.3131,4.445","I,N,N,I,N,N,I,N,N,N,N"
SD0288,SD,2002,1446.0,,CA,15000000.0,55.0,52272000.0,2607958.0,65500.0,64680.0,1.012677798392084,sand,3.0,500000.0,8400.0,4,4,"2.4146,2.7145,2.4146,3.6192","N,N,I,N"
SD0289,SD,2002,3086.0,,CA,,200.0,1200000.0,2234728.0,2543900.0,1644128.0,1.5472639599836508,foam,,3000000.0,6000.0,12,12,"2.3417,2.7145,2.4239,2.4146,2.6218,2.7135,2.4146,3.5311,3.6193,3.6193,3.6192,2.8123","N,N,N,N,I,N,N,N,N,N,N,N"
SD0290,SD,2002,3089.0,,CA,30000000.0,190.0,470000.0,741048.0,322700.0,235337.0,1.3712250942265771,plastic pipe fittings,2.0,11000000.0,8400.0,9,9,"2.4146,2.3132,2.2511,2.4231,2.3131,2.7134,3.6193,3.2176,3.2176","I,I,N,I,N,I,N,I,N"
SD0291,SD,2002,2833.0,,CA,20000000.0,80.0,90000.0,294797.0,930500.0,398510.0,2.334947680108404,milling and blending of herbal powders,2.0,8000000.0,3875.0,8,8,"2.4146,2.3417,2.7134,3.6193,3.6192,3.5216,3.6193,2.8123","P,P,N,I,I,I,N,N"
SD0292,SD,2002,3679.0,,CA,20000000.0,85.0,50000.0,102087.0,5200.0,28738.0,0.18094509012457374,electronic boards,,,3113.0,6,6,"2.4231,2.7261,2.4236,3.6193,3.6193,2.8123","I,N,I,I,N,I"
SD0293,SD,2002,3448.0,,CA,42000000.0,120.0,120000.0,276265.0,106072.0,182753.0,0.5804118126651819,laminated panels for motor homes/RV's electronic and furniture industrie,6.0,20000000.0,4250.0,7,7,"2.4146,2.4239,2.7135,2.4236,2.7144,3.2176,2.8123","I,I,I,I,N,N,N"
SD0294,SD,2002,2085.0,,CA,13000000.0,50.0,20000.0,119735.0,15220.0,29009.0,0.5246647592126581,beer,4.0,20000.0,3500.0,5,5,"2.2441,2.2522,2.1221,2.2694,3.4116","N,N,N,N,I"
SD0295,SD,2002,2051.0,,CA,,300.0,70000.0,1292617.0,678900.0,664263.0,1.0220349470014136,pizza,2.0,171360000.0,8568.0,9,9,"2.2694,2.3132,2.4231,2.7134,2.4146,2.7145,3.5311,4.441,4.441","N,N,N,I,N,N,N,I,N"
SD0296,SD,2002,3089.0,,CA,5000000.0,50.0,28000.0,231727.0,66628.0,72063.0,0.9245798814925829,Injection molding,2.0,3360000.0,8568.0,10,10,"2.4146,2.6218,2.7142,2.7135,2.4231,2.2511,3.6193,3.2176,2.4226,3.2111","N,I,N,N,I,N,N,N,I,I"
SD0297,SD,2002,3991.0,,CA,9000000.0,60.0,98000.0,91448.0,48168.0,44197.0,1.0898477272213045,"Brushes, brooms, mops",1.0,1800000.0,2146.0,6,6,"2.4146,2.7135,2.4236,2.4236,2.7142,3.6193","N,I,I,I,N,N"
